id	type	age	metric1
1	a	32	31.4135042077682
2	c	33	42.4494502273
3	a	41	40.4065667144034
4	b	37	75.7409428565902
5	a	35	66.8721696908653
6	c	37	64.7848237030056
7	c	40	52.0011294750149
8	b	34	35.6577608857485
9	b	36	30.1868535438556
10	c	36	34.5200673739212
11	c	37	44.8779967918957
12	a	30	34.8239894629842
13	a	33	62.7437400515461
14	a	35	49.6190911734153
15	b	37	60.3584127265066
16	b	30	38.93664776287
17	b	38	75.2869582878664
18	b	32	42.4851745187533
19	c	38	61.4780910673874
20	a	32	76.1400956081903
21	c	32	60.9845305075863
22	a	36	48.987353907214
23	a	31	54.3718701600445
24	a	35	33.2098871894713
25	a	34	51.749951176701
26	b	29	56.9568328277506
27	a	31	46.9896086990382
28	a	33	46.5351096238765
29	b	31	41.1254972076838
30	b	32	54.6591174630612
31	b	34	39.2664638522123
32	a	32	49.0253071531959
33	c	38	56.1108421709868
34	a	28	51.3975689203166
35	c	38	0.635305373793159
36	b	38	43.8034365611871
37	b	31	69.7555696041063
38	b	38	49.6397994961828
39	b	28	56.3769208207111
40	c	31	40.0400684313934
41	b	33	91.3342677279203
42	a	38	46.5495143044046
43	c	32	52.2559613415779
44	b	31	51.1445551035395
45	a	32	34.8454016162179
46	a	39	32.6814977213276
47	c	38	62.1753117342913
48	b	30	71.1099816001698
49	b	31	72.1707979588689
50	c	33	50.8719642018375
51	c	33	24.4951146646847
52	b	35	36.3900951326867
53	b	32	47.4503043371513
54	b	39	27.1915702510984
55	b	34	74.2161302350554
56	a	34	39.6857953981953
57	b	35	50.9923267556804
58	b	34	65.345638389599
59	b	34	75.8730536322406
60	b	27	37.2404281733385
61	a	30	57.9287857583269
62	c	34	41.6168808366241
63	c	30	48.6438555229583
64	b	31	69.2634560920013
65	c	35	57.3765624339826
66	c	29	41.4066571124577
67	b	34	46.2820491030991
68	c	30	56.0403658999819
69	c	29	56.800684020957
70	a	35	70.7484016328186
71	a	36	54.0556442816675
72	a	36	80.6238347579327
73	a	34	39.6230360428996
74	c	32	60.9551688021641
75	b	32	49.0680792606184
76	c	31	69.0566167857812
77	a	29	50.6995618137807
78	a	38	47.3359156245909
79	b	37	62.3227443015902
80	a	35	53.7154212847282
81	a	37	38.6147688041099
82	a	40	29.2922107885909
83	a	37	53.5049315077662
84	c	38	61.4007856542812
85	b	30	66.9283611769337
86	a	39	47.4134973110281
87	a	30	49.3078582794125
88	c	33	44.5408221080223
89	c	35	80.5884435038494
90	c	36	38.383967269743
91	b	33	53.924077006338
92	b	38	50.1965826622339
93	b	35	49.9805728384618
94	c	31	26.9183712252609
95	b	33	51.5622664686037
96	b	33	36.0909717053078
97	c	37	36.1039310861766
98	c	32	32.6747965215545
99	c	32	44.501598386228
100	a	35	54.0674555988185
101	b	27	59.3195126028997
102	b	36	56.6815138739648
103	a	33	46.7782589377177
104	c	39	48.3101222701734
105	c	29	48.5311544557728
106	b	36	29.7041207010743
107	c	36	61.6401881726507
108	b	37	51.9869841129595
109	a	40	58.435493475998
110	b	35	73.256837402152
111	a	32	52.4833890149958
112	c	34	33.7021941573893
113	c	35	64.1495074531981
114	a	31	39.4497516324181
115	b	32	41.274496461616
116	a	37	50.1850019804076
